source,title,price_vnd,price_text,area_m2,price_per_m2,district,ward,address,description,posted_at,url,crawled_at
phongtro123,Phòng trọ đường Núi Thành 30 + 20m2,3000000.0,3 triệu/tháng,20.0,150000.0,Hải Châu,,,"Phòng trọ đường Núi Thành 30 + 20m2 3 triệu/tháng 30 m 2 Hải Châu, Đà Nẵng Phòng trọ cho thuê 30m2, Gồm 1 phòng ngủ, 1 WC, 1 bếp, 1 gác lửng 20m2, Có điều hòa 1 tháng thêm 500K 5 năm trước",,https://phongtro123.com/phong-tro-duong-nui-thanh-30-20m2-pr586541.html,2026-05-15T11:08:09
phongtro123,Cho thuê phòng trọ có gác lửng,2500000.0,2.5 triệu/tháng,20.0,125000.0,Hải Châu,,,"Cho thuê phòng trọ có gác lửng 2.5 triệu/tháng 20 m 2 Hải Châu, Đà Nẵng PHÒNG TRỌ CHO THUÊ QUẬN CẨM LỆVị trí : đường Cách Mạng Tháng 8, Khuê Trung, Cẩm Lệ, Đà Nẵng, gần UBND quận Cẩm Lệ, cách Đại học Ngoại ngữ 5 phút… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-co-gac-lung-pr586417.html,2026-05-15T11:08:09
phongtro123,"Cho thuê Phòng số 4, 20m2, wc khép kín",1600000.0,1.6 triệu/tháng,20.0,80000.0,Liên Chiểu,,,"Cho thuê Phòng số 4, 20m2, wc khép kín 1.6 triệu/tháng 20 m 2 Liên Chiểu, Đà Nẵng Cho thuê phòng trọ số 4, diện tích 20m2, wc khép kín, sân phơi, để xe rộng rãi, camera an ninhGiá 1tr6, cọc 1 tháng, trả tiền từng thángƯu tiên: hộ gia… 5 năm trước",,https://phongtro123.com/cho-thue-phong-so-4-20m2-wc-khep-kin-pr586340.html,2026-05-15T11:08:09
phongtro123,Địa chỉ 248/6 Cách Mạng Tháng 8 Phòng rộng có gác lững. Đường 5m5,1800000.0,1.8 triệu/tháng,5.0,360000.0,Cẩm Lệ,,,"Địa chỉ 248/6 Cách Mạng Tháng 8 Phòng rộng có gác lững. Đường 5m5 1.8 triệu/tháng 23 m 2 Cẩm Lệ, Đà Nẵng Cho thuê phòng trọ địa chỉ 248/6 Cách Mạng Tháng 8. Đường 5m5 .Diện tích 23m2.Có gác lửng.Giá 1,8 triệu tháng, phòng đường luồn.Giá 2,2 triệu tháng,… 5 năm trước",,https://phongtro123.com/dia-chi-248-6-cach-mang-thang-8-duong-5m5-pr584604.html,2026-05-15T11:08:09
phongtro123,Cho thuê phòng trọ mới cao cấp,1800000.0,1.8 triệu/tháng,16.0,112500.0,Liên Chiểu,,,"Cho thuê phòng trọ mới cao cấp 1.8 triệu/tháng 16 m 2 Liên Chiểu, Đà Nẵng Phòng trọ khu 532 mới, cao cấp, tiện nghi, an ninh, có máy nóng lạnh, có bếp, máy giặt miễn phí, ở tầng cao có thang máy, wifi tốc độ cao. Khu vực yên tĩnh… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-moi-cao-cap-pr585122.html,2026-05-15T11:08:09
phongtro123,Phòng Trọ Quận Hải Châu Gần ĐH NGoại Ngữ,2000000.0,2 triệu/tháng,20.0,100000.0,Hải Châu,,,"Phòng Trọ Quận Hải Châu Gần ĐH NGoại Ngữ 2 triệu/tháng 20 m 2 Hải Châu, Đà Nẵng còn vài phòng gác lửng khu vực Hải Châu.Vệ sinh, nấu ăn khép kín, nhà để xe, khu cán bộ an ninh tốt, wifi free, camera 24/7. giờ giấc tự do, không chung chủ (… 5 năm trước",,https://phongtro123.com/phong-tro-quan-hai-chau-gan-dh-ngoai-ngu-pr585914.html,2026-05-15T11:08:12
phongtro123,"Cần cho thuê nhà 1pn, có sân vườn giá rẻ tại Đà Nẵng",3800000.0,3.8 triệu/tháng,70.0,54285.71428571428,Cẩm Lệ,,,"Cần cho thuê nhà 1pn, có sân vườn giá rẻ tại Đà Nẵng 3.8 triệu/tháng 70 m 2 Cẩm Lệ, Đà Nẵng Cần cho thuê nhà.k126/15 cách mạng t81 p khách,1phòng ngủ,1 sân vườnbên cạnh uỷ ban nhân dân phường khuê trungGiá 3.tr800/tháng) 5 năm trước",,https://phongtro123.com/can-cho-thue-nha-gia-re-da-nang-pr585897.html,2026-05-15T11:08:12
phongtro123,"Cho thuê phòng trọ giá rẻ tại phường Xuân Hà, quận Thanh Khê, Đà Nẵng",1200000.0,1.2 triệu/tháng,13.0,92307.69230769231,Thanh Khê,,,"Cho thuê phòng trọ giá rẻ tại phường Xuân Hà, quận Thanh Khê, Đà Nẵng 1.2 triệu/tháng 13 m 2 Thanh Khê, Đà Nẵng Cho thuê phòng trọ giá rẻ tại K368/1 Trần Cao Vân, Đà Nẵng. Nhà tư nhân 3 tầng, 3 phòng ngủ, diện tích mỗi phòng 13m2, có phòng để xe máy, phòng bếp ăn và… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-gia-re-tai-phuong-xuan-ha-quan-thanh-khe-da-nang-pr314873.html,2026-05-15T11:08:12
phongtro123,"Cho thuê phòng trọ ở trung tâm giá rẻ, gần chợ, gần trường học",1200000.0,1.2 triệu/tháng,18.0,66666.66666666667,Hải Châu,,,"Cho thuê phòng trọ ở trung tâm giá rẻ, gần chợ, gần trường học 1.2 triệu/tháng 18 m 2 Hải Châu, Đà Nẵng Cần cho thuê phòng trọ có lối đi riêng, có gác lửng gần chợ Mới, gần trường học. Đi K408 Trưng Nữ Vương thẳng vào gặp cafe Bắp rẻ trái, chạy thẳng… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-o-trung-tam-gia-re-pr314905.html,2026-05-15T11:08:12
phongtro123,Cho thuê phòng trọ Cẩm Lệ 1.000.000đ thoáng mát rộng rãi,1000000.0,1 triệu/tháng,25.0,40000.0,Cẩm Lệ,,,"Cho thuê phòng trọ Cẩm Lệ 1.000.000đ thoáng mát rộng rãi 1 triệu/tháng 25 m 2 Cẩm Lệ, Đà Nẵng Cho thuê phòng trọ rộng rãi, thoáng mát, có chỗ để xe, sân chơi, phơi đồ. Khu vực an ninh cao, giờ giấc thoải mái, không chung chủ. Gần khu công nghiệp Hoà… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-cam-le-1tr2-thoang-mat-rong-rai-pr583923.html,2026-05-15T11:08:12
